METRIC_L1,METRIC_L2,METRIC_L3,METRIC_L4,METRIC_L5,METRIC_L6,ACCOUNT_ID,DEPARTMENT_ID,CLASS_ID,LOCATION_ID,SUBSIDIARY_ID,ACCOUNT_NAME,DEPARTMENT_NAME
Revenue,Sales,,,,,54,,,,25,4000 Sales,
Revenue,Sales,,,,,54,,,,26,4000 Sales,
Revenue,Sales,,,,,54,,,,28,4000 Sales,
Revenue,Sales,,,,,54,,,,29,4000 Sales,
Revenue,Sales,,,,,54,,,,31,4000 Sales,
Revenue,Sales,,,,,54,,,,32,4000 Sales,
Revenue,Sales,,,,,54,,,,33,4000 Sales,
Revenue,Sales,,,,,54,,,,35,4000 Sales,
Revenue,Sales,,,,,54,,,,36,4000 Sales,
Revenue,Sales,,,,,54,,,,37,4000 Sales,
Revenue,Sales,,,,,54,,,,39,4000 Sales,
Revenue,Sales,,,,,54,,,,41,4000 Sales,
Revenue,Sales,,,,,54,,,,42,4000 Sales,
Revenue,Sales,,,,,54,,,,43,4000 Sales,
Revenue,Sales,,,,,54,,,,44,4000 Sales,
Revenue,Sales,,,,,54,,,,45,4000 Sales,
,,,,,,58,,,,1,6000 Expenses,
,,,,,,58,,,,2,6000 Expenses,
,,,,,,58,,,,3,6000 Expenses,
,,,,,,58,,,,4,6000 Expenses,
,,,,,,58,,,,5,6000 Expenses,
,,,,,,58,,,,6,6000 Expenses,
,,,,,,58,,,,11,6000 Expenses,
,,,,,,58,,,,16,6000 Expenses,
,,,,,,58,,,,19,6000 Expenses,
,,,,,,58,,,,20,6000 Expenses,
,,,,,,58,,,,21,6000 Expenses,
,,,,,,58,,,,22,6000 Expenses,
,,,,,,58,,,,23,6000 Expenses,
,,,,,,58,,,,24,6000 Expenses,
,,,,,,58,,,,25,6000 Expenses,
,,,,,,58,,,,26,6000 Expenses,
,,,,,,58,,,,28,6000 Expenses,
,,,,,,58,,,,29,6000 Expenses,
,,,,,,58,,,,31,6000 Expenses,
,,,,,,58,,,,32,6000 Expenses,
,,,,,,58,,,,33,6000 Expenses,
,,,,,,58,,,,35,6000 Expenses,
,,,,,,58,,,,36,6000 Expenses,
,,,,,,58,,,,37,6000 Expenses,
,,,,,,58,,,,39,6000 Expenses,
,,,,,,58,,,,41,6000 Expenses,
,,,,,,58,,,,42,6000 Expenses,
,,,,,,58,,,,43,6000 Expenses,
,,,,,,58,,,,44,6000 Expenses,
,,,,,,58,,,,45,6000 Expenses,
Revenue,Shipping and Handling,,,,,108,,,,1,4050 Shipping and Handling,
Revenue,Shipping and Handling,,,,,108,,,,2,4050 Shipping and Handling,
Revenue,Shipping and Handling,,,,,108,,,,3,4050 Shipping and Handling,
Revenue,Shipping and Handling,,,,,108,,,,4,4050 Shipping and Handling,
Revenue,Shipping and Handling,,,,,108,,,,5,4050 Shipping and Handling,
Revenue,Shipping and Handling,,,,,108,,,,6,4050 Shipping and Handling,
Revenue,Shipping and Handling,,,,,108,,,,11,4050 Shipping and Handling,
Revenue,Shipping and Handling,,,,,108,,,,16,4050 Shipping and Handling,
Revenue,Shipping and Handling,,,,,108,,,,19,4050 Shipping and Handling,
Revenue,Shipping and Handling,,,,,108,,,,20,4050 Shipping and Handling,
Revenue,Shipping and Handling,,,,,108,,,,21,4050 Shipping and Handling,
Revenue,Shipping and Handling,,,,,108,,,,22,4050 Shipping and Handling,
Revenue,Shipping and Handling,,,,,108,,,,23,4050 Shipping and Handling,
Revenue,Shipping and Handling,,,,,108,,,,24,4050 Shipping and Handling,
Revenue,Shipping and Handling,,,,,108,,,,25,4050 Shipping and Handling,
Revenue,Shipping and Handling,,,,,108,,,,26,4050 Shipping and Handling,
Revenue,Shipping and Handling,,,,,108,,,,28,4050 Shipping and Handling,
Revenue,Shipping and Handling,,,,,108,,,,29,4050 Shipping and Handling,
Revenue,Shipping and Handling,,,,,108,,,,31,4050 Shipping and Handling,
Revenue,Shipping and Handling,,,,,108,,,,32,4050 Shipping and Handling,
Revenue,Shipping and Handling,,,,,108,,,,33,4050 Shipping and Handling,
Revenue,Shipping and Handling,,,,,108,,,,35,4050 Shipping and Handling,
Revenue,Shipping and Handling,,,,,108,,,,36,4050 Shipping and Handling,
Revenue,Shipping and Handling,,,,,108,,,,37,4050 Shipping and Handling,
Revenue,Shipping and Handling,,,,,108,,,,39,4050 Shipping and Handling,
Revenue,Shipping and Handling,,,,,108,,,,41,4050 Shipping and Handling,
Revenue,Shipping and Handling,,,,,108,,,,42,4050 Shipping and Handling,
Revenue,Shipping and Handling,,,,,108,,,,43,4050 Shipping and Handling,
Revenue,Shipping and Handling,,,,,108,,,,44,4050 Shipping and Handling,
Revenue,Shipping and Handling,,,,,108,,,,45,4050 Shipping and Handling,
Equity,Cumulative Translation Adjustment,,,,,109,,,,1,350100 Cumulative Translation Adjustment,
Equity,Cumulative Translation Adjustment,,,,,109,,,,2,350100 Cumulative Translation Adjustment,
Equity,Cumulative Translation Adjustment,,,,,109,,,,3,350100 Cumulative Translation Adjustment,
Equity,Cumulative Translation Adjustment,,,,,109,,,,4,350100 Cumulative Translation Adjustment,
Equity,Cumulative Translation Adjustment,,,,,109,,,,5,350100 Cumulative Translation Adjustment,
Equity,Cumulative Translation Adjustment,,,,,109,,,,6,350100 Cumulative Translation Adjustment,
Equity,Cumulative Translation Adjustment,,,,,109,,,,11,350100 Cumulative Translation Adjustment,
Equity,Cumulative Translation Adjustment,,,,,109,,,,16,350100 Cumulative Translation Adjustment,
Equity,Cumulative Translation Adjustment,,,,,109,,,,19,350100 Cumulative Translation Adjustment,
Equity,Cumulative Translation Adjustment,,,,,109,,,,20,350100 Cumulative Translation Adjustment,
Equity,Cumulative Translation Adjustment,,,,,109,,,,21,350100 Cumulative Translation Adjustment,
Equity,Cumulative Translation Adjustment,,,,,109,,,,22,350100 Cumulative Translation Adjustment,
Equity,Cumulative Translation Adjustment,,,,,109,,,,23,350100 Cumulative Translation Adjustment,
Equity,Cumulative Translation Adjustment,,,,,109,,,,24,350100 Cumulative Translation Adjustment,
Equity,Cumulative Translation Adjustment,,,,,109,,,,25,350100 Cumulative Translation Adjustment,
Equity,Cumulative Translation Adjustment,,,,,109,,,,26,350100 Cumulative Translation Adjustment,
Equity,Cumulative Translation Adjustment,,,,,109,,,,28,350100 Cumulative Translation Adjustment,
Equity,Cumulative Translation Adjustment,,,,,109,,,,29,350100 Cumulative Translation Adjustment,
Equity,Cumulative Translation Adjustment,,,,,109,,,,31,350100 Cumulative Translation Adjustment,
Equity,Cumulative Translation Adjustment,,,,,109,,,,32,350100 Cumulative Translation Adjustment,
Equity,Cumulative Translation Adjustment,,,,,109,,,,33,350100 Cumulative Translation Adjustment,
Equity,Cumulative Translation Adjustment,,,,,109,,,,35,350100 Cumulative Translation Adjustment,
Equity,Cumulative Translation Adjustment,,,,,109,,,,36,350100 Cumulative Translation Adjustment,
Equity,Cumulative Translation Adjustment,,,,,109,,,,37,350100 Cumulative Translation Adjustment,
Equity,Cumulative Translation Adjustment,,,,,109,,,,39,350100 Cumulative Translation Adjustment,
Equity,Cumulative Translation Adjustment,,,,,109,,,,41,350100 Cumulative Translation Adjustment,
Equity,Cumulative Translation Adjustment,,,,,109,,,,42,350100 Cumulative Translation Adjustment,
Equity,Cumulative Translation Adjustment,,,,,109,,,,43,350100 Cumulative Translation Adjustment,
Equity,Cumulative Translation Adjustment,,,,,109,,,,44,350100 Cumulative Translation Adjustment,
Equity,Cumulative Translation Adjustment,,,,,109,,,,45,350100 Cumulative Translation Adjustment,
,,,,,,110,,,,1,Unapproved Customer Payments,
,,,,,,110,,,,2,Unapproved Customer Payments,
,,,,,,110,,,,3,Unapproved Customer Payments,
,,,,,,110,,,,4,Unapproved Customer Payments,
,,,,,,110,,,,5,Unapproved Customer Payments,
,,,,,,110,,,,6,Unapproved Customer Payments,
,,,,,,110,,,,11,Unapproved Customer Payments,
,,,,,,110,,,,16,Unapproved Customer Payments,
,,,,,,110,,,,19,Unapproved Customer Payments,
,,,,,,110,,,,20,Unapproved Customer Payments,
,,,,,,110,,,,21,Unapproved Customer Payments,
,,,,,,110,,,,22,Unapproved Customer Payments,
,,,,,,110,,,,23,Unapproved Customer Payments,
,,,,,,110,,,,24,Unapproved Customer Payments,
,,,,,,110,,,,25,Unapproved Customer Payments,
,,,,,,110,,,,26,Unapproved Customer Payments,
,,,,,,110,,,,28,Unapproved Customer Payments,
,,,,,,110,,,,29,Unapproved Customer Payments,
,,,,,,110,,,,31,Unapproved Customer Payments,
,,,,,,110,,,,32,Unapproved Customer Payments,
,,,,,,110,,,,33,Unapproved Customer Payments,
,,,,,,110,,,,35,Unapproved Customer Payments,
,,,,,,110,,,,36,Unapproved Customer Payments,
,,,,,,110,,,,37,Unapproved Customer Payments,
,,,,,,110,,,,39,Unapproved Customer Payments,
,,,,,,110,,,,41,Unapproved Customer Payments,
,,,,,,110,,,,42,Unapproved Customer Payments,
,,,,,,110,,,,43,Unapproved Customer Payments,
,,,,,,110,,,,44,Unapproved Customer Payments,
,,,,,,110,,,,45,Unapproved Customer Payments,
Liabilities,Current Liabilities,Accounts Payable,,,,111,,,,1,200000 Accounts Payable,
Liabilities,Current Liabilities,Accounts Payable,,,,111,,,,2,200000 Accounts Payable,
Liabilities,Current Liabilities,Accounts Payable,,,,111,,,,3,200000 Accounts Payable,
Liabilities,Current Liabilities,Accounts Payable,,,,111,,,,4,200000 Accounts Payable,
Liabilities,Current Liabilities,Accounts Payable,,,,111,,,,5,200000 Accounts Payable,
Liabilities,Current Liabilities,Accounts Payable,,,,111,,,,6,200000 Accounts Payable,
Liabilities,Current Liabilities,Accounts Payable,,,,111,,,,11,200000 Accounts Payable,
Liabilities,Current Liabilities,Accounts Payable,,,,111,,,,16,200000 Accounts Payable,
Liabilities,Current Liabilities,Accounts Payable,,,,111,,,,19,200000 Accounts Payable,
Liabilities,Current Liabilities,Accounts Payable,,,,111,,,,20,200000 Accounts Payable,
Liabilities,Current Liabilities,Accounts Payable,,,,111,,,,21,200000 Accounts Payable,
Liabilities,Current Liabilities,Accounts Payable,,,,111,,,,22,200000 Accounts Payable,
Liabilities,Current Liabilities,Accounts Payable,,,,111,,,,23,200000 Accounts Payable,
Liabilities,Current Liabilities,Accounts Payable,,,,111,,,,24,200000 Accounts Payable,
Liabilities,Current Liabilities,Accounts Payable,,,,111,,,,25,200000 Accounts Payable,
Liabilities,Current Liabilities,Accounts Payable,,,,111,,,,26,200000 Accounts Payable,
Liabilities,Current Liabilities,Accounts Payable,,,,111,,,,28,200000 Accounts Payable,
Liabilities,Current Liabilities,Accounts Payable,,,,111,,,,29,200000 Accounts Payable,
Liabilities,Current Liabilities,Accounts Payable,,,,111,,,,31,200000 Accounts Payable,
Liabilities,Current Liabilities,Accounts Payable,,,,111,,,,32,200000 Accounts Payable,
Liabilities,Current Liabilities,Accounts Payable,,,,111,,,,33,200000 Accounts Payable,
Liabilities,Current Liabilities,Accounts Payable,,,,111,,,,35,200000 Accounts Payable,
Liabilities,Current Liabilities,Accounts Payable,,,,111,,,,36,200000 Accounts Payable,
Liabilities,Current Liabilities,Accounts Payable,,,,111,,,,37,200000 Accounts Payable,
Liabilities,Current Liabilities,Accounts Payable,,,,111,,,,39,200000 Accounts Payable,
Liabilities,Current Liabilities,Accounts Payable,,,,111,,,,41,200000 Accounts Payable,
Liabilities,Current Liabilities,Accounts Payable,,,,111,,,,42,200000 Accounts Payable,
Liabilities,Current Liabilities,Accounts Payable,,,,111,,,,43,200000 Accounts Payable,
Liabilities,Current Liabilities,Accounts Payable,,,,111,,,,44,200000 Accounts Payable,
Liabilities,Current Liabilities,Accounts Payable,,,,111,,,,45,200000 Accounts Payable,
,,,,,,112,,,,1,xx99999 Accrued Purchases,
,,,,,,112,,,,2,xx99999 Accrued Purchases,
,,,,,,112,,,,3,xx99999 Accrued Purchases,
,,,,,,112,,,,4,xx99999 Accrued Purchases,
,,,,,,112,,,,5,xx99999 Accrued Purchases,
,,,,,,112,,,,6,xx99999 Accrued Purchases,
,,,,,,112,,,,11,xx99999 Accrued Purchases,
,,,,,,112,,,,16,xx99999 Accrued Purchases,
,,,,,,112,,,,19,xx99999 Accrued Purchases,
,,,,,,112,,,,20,xx99999 Accrued Purchases,
,,,,,,112,,,,21,xx99999 Accrued Purchases,
,,,,,,112,,,,22,xx99999 Accrued Purchases,
,,,,,,112,,,,23,xx99999 Accrued Purchases,
,,,,,,112,,,,24,xx99999 Accrued Purchases,
,,,,,,112,,,,25,xx99999 Accrued Purchases,
,,,,,,112,,,,26,xx99999 Accrued Purchases,
,,,,,,112,,,,28,xx99999 Accrued Purchases,
,,,,,,112,,,,29,xx99999 Accrued Purchases,
,,,,,,112,,,,31,xx99999 Accrued Purchases,
,,,,,,112,,,,32,xx99999 Accrued Purchases,
,,,,,,112,,,,33,xx99999 Accrued Purchases,
,,,,,,112,,,,35,xx99999 Accrued Purchases,
,,,,,,112,,,,36,xx99999 Accrued Purchases,
,,,,,,112,,,,37,xx99999 Accrued Purchases,
,,,,,,112,,,,39,xx99999 Accrued Purchases,
,,,,,,112,,,,41,xx99999 Accrued Purchases,
,,,,,,112,,,,42,xx99999 Accrued Purchases,
,,,,,,112,,,,43,xx99999 Accrued Purchases,
,,,,,,112,,,,44,xx99999 Accrued Purchases,
,,,,,,112,,,,45,xx99999 Accrued Purchases,
,,,,,,113,,,,1,Return Authorizations,
,,,,,,113,,,,2,Return Authorizations,
,,,,,,113,,,,3,Return Authorizations,
,,,,,,113,,,,4,Return Authorizations,
,,,,,,113,,,,5,Return Authorizations,
,,,,,,113,,,,6,Return Authorizations,
,,,,,,113,,,,11,Return Authorizations,
,,,,,,113,,,,16,Return Authorizations,
,,,,,,113,,,,19,Return Authorizations,
,,,,,,113,,,,20,Return Authorizations,
,,,,,,113,,,,21,Return Authorizations,
,,,,,,113,,,,22,Return Authorizations,
,,,,,,113,,,,23,Return Authorizations,
,,,,,,113,,,,24,Return Authorizations,
,,,,,,113,,,,25,Return Authorizations,
,,,,,,113,,,,26,Return Authorizations,
,,,,,,113,,,,28,Return Authorizations,
,,,,,,113,,,,29,Return Authorizations,
,,,,,,113,,,,31,Return Authorizations,
,,,,,,113,,,,32,Return Authorizations,
,,,,,,113,,,,33,Return Authorizations,
,,,,,,113,,,,35,Return Authorizations,
,,,,,,113,,,,36,Return Authorizations,
,,,,,,113,,,,37,Return Authorizations,
,,,,,,113,,,,39,Return Authorizations,
,,,,,,113,,,,41,Return Authorizations,
,,,,,,113,,,,42,Return Authorizations,
,,,,,,113,,,,43,Return Authorizations,
,,,,,,113,,,,44,Return Authorizations,
,,,,,,113,,,,45,Return Authorizations,
,,,,,,114,,,,1,Estimates,
,,,,,,114,,,,2,Estimates,
,,,,,,114,,,,3,Estimates,
,,,,,,114,,,,4,Estimates,
,,,,,,114,,,,5,Estimates,
,,,,,,114,,,,6,Estimates,
,,,,,,114,,,,11,Estimates,
,,,,,,114,,,,16,Estimates,
,,,,,,114,,,,19,Estimates,
,,,,,,114,,,,20,Estimates,
,,,,,,114,,,,21,Estimates,
