ACCOUNT_ID,ACCOUNT_NUMBER,SUBSIDIARY_ID,CLASS_ID,DEPARTMENT_ID,LOCATION_ID,Metric_Mapping
967,660024,,,,345,Direct Operating Expense
182,600125,,,,56,Direct Operating Expense
389,S40009,,,,170,
79,160000,,,,539,Assets
967,660024,,,,581,Direct Operating Expense
1177,480010,,,,558,Sales
65,150100,,,,131,
71,150700,,,,130,Assets
74,151000,,,,1291,Assets
1520,660065,,,,1293,Direct Operating Expense
73,150900,,,,1302,Assets
65,150100,,,,537,
65,150100,,,,167,
359,800300,,,,1287,Deal Expenses
269,700182,,,,447,Field G&A
1896,230103,,,,554,Liability
1830,600405,,,,567,Direct Operating Expense
1896,230103,,,,536,Liability
296,700905,,,,366,Field G&A
269,700182,,,,108,Field G&A
585,140151,,,,510,Assets
102,200000,,,,508,Liability
111,220100,,,,126,Liability
999,101201,,,,133,Assets
164,460200,,,,1302,Sales
139,300100,,,,436,Equity
275,700240,,,,1,Field G&A
106,210410,,,,1299,Liability
1690,690071,,,,492,Marketing & Advertising
585,140151,,,,,Assets
73,150900,,,,136,Assets
81,170100,,,,634,Assets
1561,100826,,,,352,
309,800215,,,,357,Interest Expesne
1596,230088,,,,119,Liability
1956,690090,,,,360,Marketing & Advertising
1690,690071,,,,447,Marketing & Advertising
228,660070,,,,509,Direct Operating Expense
266,700115,,,,141,Field G&A
1711,480501,,,,347,Sales
292,700405,,,,555,Field G&A
1689,690070,,,,472,Marketing & Advertising
108,210600,,,,1299,Liability
70,150600,,,,490,Assets
65,150100,,,,1295,
1664,100021,,,,562,Assets
161,460100,,,,143,Sales
215,630260,,,,,Direct Operating Expense
65,150100,,,,119,
1689,690070,,,,474,Marketing & Advertising
1668,600119,,,,498,Direct Operating Expense
79,160000,,,,528,Assets
552,700907,,,,559,Corporate G&A
73,150900,,,,566,Assets
73,150900,,,,569,Assets
74,151000,,,,59,Assets
260,690040,,,,125,Marketing & Advertising
1080,150110,,,,436,Assets
1830,600405,,,,520,Direct Operating Expense
235,660150,,,,440,Direct Operating Expense
1896,230103,,,,546,Liability
1928,690081,,,,1303,Marketing & Advertising
1921,690074,,,,616,Marketing & Advertising
66,150200,,,,472,Assets
1932,690085,,,,440,Marketing & Advertising
150,410300,,,,519,Sales
74,151000,,,,1297,Assets
234,660110,,,,122,Direct Operating Expense
313,800310,,,,358,Deal Expenses
1956,690090,,,,618,Marketing & Advertising
1672,140600,,,,526,Assets
282,700320,,,,549,Field G&A
357,600200,,,,530,
1596,230088,,,,,Liability
201,620110,,,,591,Direct Operating Expense
585,140151,,,,521,Assets
282,700320,,,,210,Field G&A
1666,600117,,,,609,Direct Operating Expense
209,630125,,,,132,Direct Operating Expense
251,680100,,,,572,Repairs & Maintenance
111,220100,,,,4,Liability
457,S40016,,,,1283,
351,101014,,,,566,
93,190105,,,,521,Assets
303,800115,,,,129,Other Income & (Expense) Accts
1926,690080,,,,626,Marketing & Advertising
304,800150,,,,519,Other Income & (Expense) Accts
359,800300,,,,634,Deal Expenses
313,800310,,,,570,Deal Expenses
975,500823,,,,545,COGS
71,150700,,,,133,Assets
1689,690070,,,,450,Marketing & Advertising
215,630260,,,,613,Direct Operating Expense
282,700320,,,,566,Field G&A
65,150100,,,,536,
65,150100,,,,544,
70,150600,,,,358,Assets
260,690040,,,,130,Marketing & Advertising
1679,690060,,,,57,Marketing & Advertising
1924,690077,,,,60,Marketing & Advertising
1956,690090,,,,596,Marketing & Advertising
266,700115,,,,511,Field G&A
1691,690072,,,,530,Marketing & Advertising
140,300200,,,,447,Equity
283,700325,,,,581,Field G&A
74,151000,,,,514,Assets
82,170200,,,,61,Assets
285,700345,,,,615,Field G&A
1635,500831,,,,62,COGS
182,600125,,,,630,Direct Operating Expense
272,700200,,,,479,Field G&A
1956,690090,,,,619,Marketing & Advertising
266,700115,,,,170,Field G&A
111,220100,,,,62,Liability
1711,480501,,,,59,Sales
1711,480501,,,,108,Sales
152,420100,,,,530,Sales
1715,210501,,,,366,Liability
107,210500,,,,516,Liability
107,210500,,,,133,Liability
153,420200,,,,551,Sales
153,420200,,,,542,Sales
107,210500,,,,367,Liability
107,210500,,,,362,Liability
107,210500,,,,440,Liability
153,420200,,,,450,Sales
153,420200,,,,591,Sales
153,420200,,,,479,Sales
153,420200,,,,616,Sales
107,210500,,,,1284,Liability
153,420200,,,,525,Sales
153,420200,,,,126,Sales
153,420200,,,,119,Sales
153,420200,,,,450,Sales
152,420100,,,,167,Sales
1178,210510,,,,439,Liability
1715,210501,,,,439,Liability
1178,210510,,,,62,Liability
1715,210501,,,,127,Liability
1715,210501,,,,445,Liability
153,420200,,,,359,Sales
102,200000,,,,124,Liability
102,200000,,,,363,Liability
6,100004,,,,131,Assets
1178,210510,,,,134,Liability
152,420100,,,,363,Sales
1316,100732,,,,128,
42,101921,,,,115,Assets
400,101999,,,,493,Assets
153,420200,,,,436,Sales
1710,480030,,,,139,Sales
400,101999,,,,118,Assets
400,101999,,,,134,Assets
400,101999,,,,356,Assets
400,101999,,,,490,Assets
400,101999,,,,365,Assets
1642,100838,,,,66,
183,600140,,,,363,Direct Operating Expense
42,101921,,,,440,Assets
277,700280,,,,128,Field G&A
1714,210430,,,,130,Liability
1638,480020,,,,210,Sales
102,200000,,,,345,Liability
41,101920,,,,353,Assets
196,600500,,,,131,Corporate G&A
336,100809,,,,133,
1554,100834,,,,445,
557,700116,,,,448,Corporate G&A
107,210500,,,,446,Liability
107,210500,,,,476,Liability
152,420100,,,,343,Sales
107,210500,,,,358,Liability
107,210500,,,,522,Liability
50,120100,,,,508,Assets
107,210500,,,,498,Liability
