DIM_LOCATION_ID,Location_Name,Dim_HR_Location_ID,HR_Location_Name
540,C78-Lakewood-W Colfax,A39,COBB078-Lakewood-W Colfax
541,C80-Arvada - Wadsworth Blvd & 66th Ave,A45,COBB080-Arvada-Wadsworth
542,C81-Northglenn - Washington St & 115th,A46,COBB081-Northglenn-Washin
613,C83-Northglenn-Huron,B54,COBB083-Northglenn-Huron
543,C86-Aurora-E Mississippi,B47,COBB086-Aurora-E Mississi
616,C87-Denver- Federal Blvd,B29,COBB087-Denver-Federal
617,C88-Denver-E Evans,C88,COBB135-Lakewood-Wadswort
544,C90-Denver-Tower,A66,COBB090-Denver-Tower
545,C91-Littleton-W Ken Caryl,A68,COBB091-Littleton-W Ken C
546,C92-Thornton-Washington,B15,COBB092-Thornton-Washingt
547,C93-Windsor - Birch St & 16th St,A50,COBB093-Windsor-Main
548,C94-Erie - Highway CO 7,B39,COBB094-Erie-CO-7
549,C96-Lafayette - Arapahoe Rd,B10,COBB096-Lafayette-Arapaho
626,C99-Firestone-Hwy 119,B83,COBB099-Firestone-Hwy 119
107,CAS Corp,C46,COBBHQ1-Scottsdale-E Bahi
107,CAS Corp,C73,COBBHQ2-Denver-S Colorado
1287,COBB138-Sheridan-S Santa Fe,D15,COBB138-Sheridan-S Santa
22,COBB141-Aurora-S-Parker,D74,COBB141-Aurora-S Parker
1288,COBB301-Star-W State,D00,COBB301-Star-W State
1289,COBB302-Twin Falls-Pole Line,D01,COBB302-Twin Falls-Pole L
1290,COBB303-Nampa-E Hawaii,D02,COBB303-Nampa-E Hawaii
1291,COBB304-Meridian-S Ten Mile,D03,COBB304-Meridian-S Ten Mi
1292,COBB305-Caldwell-Cleveland,D04,COBB305-Caldwell-Clevelan
1293,COBB306-Nampa-Caldwell,D05,COBB306-Nampa-Caldwell
1294,COBB307-Eagle-E State,D06,COBB307-Eagle-E State
1295,COBB308-Meridian-N Linder,D07,COBB308-Meridian-N Linder
1296,COBB309-Meridian-W Overland,D08,COBB309-Meridian-W Overla
1297,COBB351-Ontario-SE 1st,D09,COBB351-Ontario-SE 1st
1298,COBB352-Boise-W Overland,D10,COBB352-Boise-W Overland
1299,COBB353-Boise-Fairview,D11,COBB353-Boise-Fairview
1300,COBB354-Boise-W State,D12,COBB354-Boise-W State
1301,COBB355-Meridian-S Silverstone,D13,COBB355-Meridian-S Silver
1302,COBB356-Caldwell-Bluebird,D14,COBB356-Caldwell-Bluebird
29,D84 FLAG114-PA Horsham-Easton,D84,FLAG114-Horsham-Easton
30,D85 FLAG115-PA Strafford-Lancaster,D85,FLAG115-Strafford-Lancast
31,D86 FLAG116-PA Chester-E Market,D86,FLAG116-Chester-E Market
32,D87 FLAG117-PA Warrington-Easton-75,D87,FLAG117-Warrington-Easton
33,D88 FLAG118-PA North Wales-Welsh,D88,FLAG118-North Wales-Welsh
34,D89 FLAG119-PA E Norriton-W Germantown,D89,FLAG119-East Norriton-W G
111,DC Connecticut Ave,A56,FLAG001-Washington-Connec
210,DC Wisconsin Ave (DC Wash n Shine),B46,FLAG030-Washington-Wiscon
27,Flag NE Corp,E14,FLAGHQ2-Northeast HQ
1283,Lynchburg – Old Forest 045,C94,ULTM045-Lynchburg-Peace
634,MD Bowie - Crain Hwy (Whip Clean),C30,FLAG040-Bowie-Crain
5,MD Brandywine - Cadillac Dr (Smitty's),D19,FLAG065-Brandywine-Cadill
636,MD Camp Springs - Allentown Way (Roys),C70,FLAG055-Camp Springs-Alle
115,MD Chapman,A54,FLAG004-Rockville-Chapman
451,MD Cockeysville (Autospa),B21,FLAG036-Cockeysville-York
137,MD District Heights (Prestige),B38,FLAG023-District Heights-
363,MD Edgewater (Washaus),B00,FLAG032-Edgewater-Solomon
10,MD Elkton - Commerce Center Dr,D34,FLAG078-Elkton-E Pulaski
113,MD Gaithersburg,A61,FLAG002-Gaithersburg-Bure
