Type,Period,Addback_Amount
(20) Non cash charges related to swap contracts or FASB123 R,Jun-25,2777000
(21) Expenses related to the debt transaction,Jun-25,0
(22) Non-cash gains from sale of assets,Jun-25,-9000
(23) Non-cash gains unrelated to sale of assets,Jun-25,0
(04) Non-cash losses from asset dispositions,Jul-25,0
(05) Equity compensation expense and impairment charges,Jul-25,305000
(06) Transaction costs related to loan,Jul-25,0
(07) Administrative agent fees related to loan,Jul-25,8000
(08) Management fees paid to Access Holdings and BOD fees,Jul-25,87000
(09) Purchase price adjustments; items covered by indemnification,Jul-25,0
(10) Costs related to permitted acquisitions,Jul-25,0
(10a) Costs related to permitted acquisitions - consummated,Jul-25,1123000
(10b) Costs related to permitted acquisitions - dead deals,Jul-25,42000
(10) Costs related to permitted acquisitions,Jul-25,1165000
(13) Non cash items related to purchase accounting adjustments,Jul-25,0
(14) Synergies to be realized within 12 months,Jul-25,-219000
(15) Pre-opening costs and start up fees,Jul-25,350000
"(16) Extraordinary items, restructuring costs, retention bonus, consulting",Jul-25,1024000
(18) Integration Expenses,Jul-25,130000
(19) Expense recorded in relation to earn-outs,Jul-25,106000
(20) Non cash charges related to swap contracts or FASB123 R,Jul-25,0
(21) Expenses related to the debt transaction,Jul-25,0
(22) Non-cash gains from sale of assets,Jul-25,0
(23) Non-cash gains unrelated to sale of assets,Jul-25,0
(04) Non-cash losses from asset dispositions,Aug-24,0
(05) Equity compensation expense and impairment charges,Aug-24,105000
(06) Transaction costs related to loan,Aug-24,1317000
(07) Administrative agent fees related to loan,Aug-24,7000
(08) Management fees paid to Access Holdings and BOD fees,Aug-24,37000
(09) Purchase price adjustments; items covered by indemnification,Aug-24,0
(10) Costs related to permitted acquisitions,Aug-24,0
(10a) Costs related to permitted acquisitions - consummated,Aug-24,1010000
(10b) Costs related to permitted acquisitions - dead deals,Aug-24,65000
(10) Costs related to permitted acquisitions,Aug-24,1075000
(13) Non cash items related to purchase accounting adjustments,Aug-24,0
(14) Synergies to be realized within 12 months,Aug-24,-220000
(15) Pre-opening costs and start up fees,Aug-24,223000
"(16) Extraordinary items, restructuring costs, retention bonus, consulting",Aug-24,1324000
(18) Integration Expenses,Aug-24,181000
(19) Expense recorded in relation to earn-outs,Aug-24,-5242000
(20) Non cash charges related to swap contracts or FASB123 R,Aug-24,0
(21) Expenses related to the debt transaction,Aug-24,0
(22) Non-cash gains from sale of assets,Aug-24,-1872000
(23) Non-cash gains unrelated to sale of assets,Aug-24,0
(04) Non-cash losses from asset dispositions,Sep-24,0
(05) Equity compensation expense and impairment charges,Sep-24,37000
(06) Transaction costs related to loan,Sep-24,0
(07) Administrative agent fees related to loan,Sep-24,7000
(08) Management fees paid to Access Holdings and BOD fees,Sep-24,35000
(09) Purchase price adjustments; items covered by indemnification,Sep-24,0
(10) Costs related to permitted acquisitions,Sep-24,0
(10a) Costs related to permitted acquisitions - consummated,Sep-24,902000
(10b) Costs related to permitted acquisitions - dead deals,Sep-24,0
(10) Costs related to permitted acquisitions,Sep-24,902000
(13) Non cash items related to purchase accounting adjustments,Sep-24,0
(14) Synergies to be realized within 12 months,Sep-24,-63000
(15) Pre-opening costs and start up fees,Sep-24,203000
"(16) Extraordinary items, restructuring costs, retention bonus, consulting",Sep-24,1133000
(18) Integration Expenses,Sep-24,142000
(19) Expense recorded in relation to earn-outs,Sep-24,20000
(20) Non cash charges related to swap contracts or FASB123 R,Sep-24,0
(21) Expenses related to the debt transaction,Sep-24,0
(22) Non-cash gains from sale of assets,Sep-24,0
(23) Non-cash gains unrelated to sale of assets,Sep-24,0
(04) Non-cash losses from asset dispositions,Oct-24,2100000
(05) Equity compensation expense and impairment charges,Oct-24,37000
(06) Transaction costs related to loan,Oct-24,10000
(07) Administrative agent fees related to loan,Oct-24,8000
(08) Management fees paid to Access Holdings and BOD fees,Oct-24,84000
(09) Purchase price adjustments; items covered by indemnification,Oct-24,0
(10) Costs related to permitted acquisitions,Oct-24,0
(10a) Costs related to permitted acquisitions - consummated,Oct-24,936000
(10b) Costs related to permitted acquisitions - dead deals,Oct-24,0
(10) Costs related to permitted acquisitions,Oct-24,936000
(13) Non cash items related to purchase accounting adjustments,Oct-24,-19000
(14) Synergies to be realized within 12 months,Oct-24,-20000
(15) Pre-opening costs and start up fees,Oct-24,310000
"(16) Extraordinary items, restructuring costs, retention bonus, consulting",Oct-24,841000
(18) Integration Expenses,Oct-24,206000
(19) Expense recorded in relation to earn-outs,Oct-24,76000
(20) Non cash charges related to swap contracts or FASB123 R,Oct-24,0
(21) Expenses related to the debt transaction,Oct-24,0
(22) Non-cash gains from sale of assets,Oct-24,-796000
(23) Non-cash gains unrelated to sale of assets,Oct-24,0
(04) Non-cash losses from asset dispositions,Nov-24,863000
(05) Equity compensation expense and impairment charges,Nov-24,263000
(06) Transaction costs related to loan,Nov-24,0
(07) Administrative agent fees related to loan,Nov-24,40000
(08) Management fees paid to Access Holdings and BOD fees,Nov-24,55000
(09) Purchase price adjustments; items covered by indemnification,Nov-24,0
(10) Costs related to permitted acquisitions,Nov-24,0
(10a) Costs related to permitted acquisitions - consummated,Nov-24,4453000
(10b) Costs related to permitted acquisitions - dead deals,Nov-24,0
(10) Costs related to permitted acquisitions,Nov-24,4453000
(13) Non cash items related to purchase accounting adjustments,Nov-24,0
(14) Synergies to be realized within 12 months,Nov-24,63000
(15) Pre-opening costs and start up fees,Nov-24,304000
"(16) Extraordinary items, restructuring costs, retention bonus, consulting",Nov-24,475000
(18) Integration Expenses,Nov-24,124000
(19) Expense recorded in relation to earn-outs,Nov-24,25000
(20) Non cash charges related to swap contracts or FASB123 R,Nov-24,0
